1682208034,10,10,12.7,25.70,37.33,0,0,4
1682211635,10,10,12.7,25.54,37.39,0,0,4
1682215237,10,10,12.7,25.39,37.55,0,0,4
1682218838,10,10,12.7,25.19,37.12,0,0,4
1682222440,10,10,12.7,25.01,37.49,0,0,4
1682226041,10,10,12.7,24.81,37.25,0,0,4
1682229643,10,10,12.7,24.62,37.09,0,0,4
1682233244,10,10,12.7,24.42,37.30,240,0,4
1682236846,10,10,12.7,24.22,37.04,0,0,4
1682240447,10,10,12.7,23.98,37.17,0,0,4
1682244049,10,10,12.7,23.77,37.30,0,0,4
1682247650,10,10,12.7,23.63,37.39,0,0,4
1682251252,10,10,12.7,23.53,38.13,0,0,4
1682254854,10,10,12.6,23.72,37.97,0,0,4
1682258455,10,10,12.7,23.90,37.53,0,0,4
1682262057,10,10,12.7,24.12,37.09,0,0,4
1682265658,10,10,12.6,24.56,36.95,240,0,4
1682269200,10,10,12.7,24.56,37.17,0,0,4
